Donax-like Tellin;1
Cellar Glass Snail;1
Swollen Top-shell;1
;0
Thin Furrow-shell;1
Rayed Artemis;1
Beaked Leda;1
Glutinous Snail;1
Elliptical file-shell;1
Flat Periwinkle;1
Wall Whorl Snail;1
Drifting Ship-worm;1
Tiger Scallop;1
Elliptical Trough-shell;1
Green Crenella;1
Purple;1
Flat Ramshorn;1
Common Garden Snail;1
Lobe-shell;1
Thin Nut-shell;1
Swan Mussel;2
White Tortoiseshell Limpet;1
Bush Snail;1
Globular Chink-shell;1
Red Spire-shell;1
Common Piddock;1
Rock-borer;1
Variegated Scallop;1
Fragile File-shell;1
Moss Snail;1
Dotted Lobe-shell;1
Small Amber Snail;1
Keyhole Limpet;1
Olive Aeolis;1
Dun Sentinel;1
Shining Coin-shell;1
Flask-shell;1
Least Whelk;1
Periwinkle;1
Marsh Slug;1
Slender Slug;1
Common Triton;1
Kentish Snail;1
American Oyster;1
Rayed Glass Snail;1
Small Gaper;1
Pygmy Scallop;1
Oblong Otter-shell;1
Wood Piddock;1
Brown-lipped Snail;1
Ash-black Slug;1
Cup-and-Saucer Limpet;1
Bean Horse Mussel;1
Distorted Eulima;1
Eared Pond Snail;1
Smooth Cockle;1
Netted Dog-whelk;1
Amber Snail;1
Common Razor;1
Thick Trough-shell;1
Pheasant-shell;1
Red Whelk;1
Cross-cut Carpet-shell;1
Dwarf Pond Snail;1
Banded Carpet-shell;1
Common Octopus;1
Northern Lucina;1
Transparent Razor;1
Heath Snail;1
Grey Field Slug;1
Papery Lantern-shell;1
Banded Wedge-shell;1
White Furrow-shell;1
River snail;1
Rayed Trough-shell;2
Sowerby's Slug;1
Tree Snail;1
Small Wentletrap;1
Banded Chink-shell;1
Nothern Cowrie;1
Greater Pellucid Glass Snail;1
Pallid Chink-shell;1
Common Wentletrap;1
Sandhill Snail;1
Canoe-shell;1
White Ramshorn;1
Turton's Wentletrap;1
Iceland Cyprina;1
Pelican's-foot;1
Tree Slug;1
Bristly Mail-shell;1
Montagu's Top-shell;1
Rough Cockle;1
Black Limapontia;1
Great Scallop;1
Ormer;1
Angled Doris;1
Common Whelk;1
Cut Trough-shell;1
Alder's Slug;1
Whirlpool Ramshorn;1
River Limpet;1
Banded Snail;1
Ataeon shell;1
Bladder Snail;1
Bearded Horse Mussel;1
Sword Razor;1
Grooved Razor;1
Lapidary Snail;1
Red Conelet;1
Chrysalis Snail;1
Crested Aeolis;1
Oval Venus;1
Garden Slug;1
Lamarck's Cockle;1
Cerith needle-whelk;1
Black Crenella;1
Thin Lantern-shell;1
Waxy Glass Snail;1
Sting-winkle;1
White-lipped Snail;1
Flat Astarte-shell;1
Wandering Pond Snail;1
Wavy Hatchet-shell;1
Rounded Snail;1
Common Slit-limpet;1
Prickly Spindle-shell;1
Bean-like Tellin;1
Lesse Bullin;1
Warty Venus;1
Painter's Mussel;1
Hairy Sea Lemon;1
Common Horse Mussel;1
Ruddy Lasaea;1
Plumed Aeolis;1
Common Mussel;1
Eccentric Snail;1
Golden Carpet-shell;1
Looping snail;1
Tawny Glass Snail;1
China Limpet;1
Velvet-shell;1
Pandora-shell;1
Prismatic Furrow-shell;1
Freshwater Nerite;1
Common Ship-worm;1
Minute Aeolis;1
Zebra Mussel;1
Globose Kelly-shell;1
Guernsey Ship-worm;1
Slender Spindle-shell;1
Flying Squid;1
Thick-lipped Dog-whelk;1
Thick-lipped Spire-shell;1
Glossy Furrow-shell;1
Brittle Tellin;1
Knotted Cockle;1
Grey Mail-shell;1
Red Slug;1
Pullet Carpet-shell;1
Rusty Montagu-shell;1
Peppery Furrow-shell;1
Lake Orb Mussel;1
Wavy Venus;1
Great Pond Snail;1
Two-lipped Door Snail;1
Compressed River Mussel;1
Smooth Blind-shell;1
Dwarf Winkle;1
Blue-rayed Limpet;1
Orange-tipped Aeolis;1
Ribbed Spindle-shell;1
Roud-mouthed Snail;1
Pod Razor;1
Polished Wedge-shell;1
Common Cockle;1
Common Basket-shell;1
Grooved Top-shell;1
Punctured Limpet;1
Great Keeled Slug;1
Blunt Bubble-shell;1
Prickly Cockle;1
Cheese Snail;1
Mouse-eared Alexia;1
Sand-bowl Amber Snail;1
Spotted Cowrie;1
Ribbed Crenella;1
Spiny Cockle;1
Little Piddock;1
Laver Spire-shell;1
Nut Orb Mussel;1
Little Cuttle;1
Common Squid;1
Common Necklace-shell;1
Common Nut-shell;1
Despised Aeolis;1
Iceland Spindle;1
Banded Venus;1
Keeled Ramshorn Snail;1
Furrowed Astarte-shell;1
Shining Nut-shell;1
Two-lined Eulima;1
Large Necklace-shell;1
Iceland  Necklace-shell;1
Flat Top-shell;1
Hunchback Scallop;1
Pfeiffer's Amber Snail;1
Pennant's Top-shell;1
Rough Winkle;1
Common Top-shell;1
Hungarican Cap;1
Forest Slug;1
Striped Venus;1
Elephant's-tusk Shell;1
Great Ramshorn;1
Blind Snail;1
Common Cuttle;1
Grey Top-shell;1
Wrinkled Rock-borer;1
Thin Tellin;1
Turreted Conelet;1
Crowned Sea-nymph;1
Painted Top-shell;1
Seven-ribbed Conelet;1
Orchard Snail;1
Marbled crenella;1
Sand Gaper;1
Painted Aeolis;1
Small Needle-whelk;1
Norwegian Rock-borer;1
Green Elysia;1
Dwarf Aeolis;1
Reversed Horn-shell;1
Round Double-tooth;1
Roman Snail;1
Glossy Aclis;1
Sea Lemon or Rough Sea Lemon;1
Common Oyster;1
Quin;1
Little Tellin;1
Swollen River Mussel;1
Thick Top-shell;1
Horny Orb Mussel;1
Japanese Oyster;1
Homberg's Triton;1
Grooved Tusk-Shell;1
Two-toothed Door Snail;1
Yellow Slug;1
Black-footed Limpet;1
White Mail-shell;1
Portuguese Oyster;1
Clear Glass Snail;1
Pellucid Glass Snail;1
Wrinkled Snail;1
Blunt Gaper;1
Little Cockle;1
Crested Slug;1
Plaited Door Snail;1
Marsh Snail;1
Common Limpet;1
Ribbed Grass Snail;1
Faroe Sunset-shell;1
Two-toothed Montagu-shell;1
Hollowed Glas Snail;1
Dwarf Dog-whelk;1
Triangular Astarte-shell;1
Shiny Glass Snail;1
Large Pea Shell;1
Two-toothed Leuconia;1
American Slipper limpet;1
Ramshorn;1
Baltic Tellin;1
Milky Ark;1
Short-finned Squid;1
Twisted Ramshorn;1
Long Finned Squid;1
Transparant Marsenia;1
Carthusian Snail;1
Prickly Snail;1
Blunt Tellin;1
Common Otter-shell;1
Dog-Cockle;1
Flat Limapontia;1
Montagu's Urchin-shell;1
Glossy Glass Snail;1
White Belted-shell;1
Oval Piddock;1
Auger;1
Bourguinat's Slug;1
Norwegian Ship-worm;1
Hairy Snail;1
Freshwater Pearl Mussel;1
White Piddock;1
Nerite-like Winkle;1
Curled Octopus;1
Common Bithynia;1
Glaucous Trough-shell;1
Ribbed Saddle-oyster;1
Slippery Snail;1
Thick Chinck-shell;1
Saddle-oyster;1
Bushy-backed Slug;1
Clam;1
Large Sunset-shell;1
Cylindrical Bubble-shell;1
NULL;320
