Archol, Leiden;1
Groninger Instituut voor Archeologie, RUG, Groningen;9
Instituut voor Prehistorie, Rijksuniversiteit Leiden;50
;0
ARC, Groningen;20
Biologisch-Archeologisch Instituut, RUG, Groningen;32
Brinkkemper Archeobotanisch Bureau, Varik;24
Rijksdienst voor Archeologie, Cultuurlandschap en Monumenten, Amersfoort;6
ADC, Amersfoort;129
BIAX Consult, Leiden;14
Rijksdienst voor het Oudheidkundig Bodemonderzoek, Amersfoort;141
BIAX Consult, Amsterdam;41
BIAX Consult, Zaandam;494
Laboratorium voor Palaeobotanie en Palynolgie, UU, Utrecht;4
Rijksdienst voor het Cultureel Erfgoed, Amersfoort;2
Instituut voor Pre- en Protohistorie, UvA, Amsterdam;39
Hugo de Vrieslaboratorium, UvA, Amsterdam;1
Archeologisch Centrum, Universiteit Leiden;54
NULL;119
